objectid,labid,sampleid,sievemeshsize,sievediameter,filtertype,filterporesize,filterdiameter,filterholder,kohdigestiontemp,wpodigestions,samplestorage,time,comments,b1separationtime,b2separationtime,kohdigestiontime,matrix,sizefraction
304,LabG,LabG_CW_3,20,-88,polycarbonate,20,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,212-500 um
313,LabU,LabU_CW_4,500,8,"Cellulose (20 micron), borosilicate glass fiber (1 micron)",20,47,GLASS,-88.0,-88,Dry,0.25,Samples separated on sieves were then filtered onto 20 micron filters for storage.,0.25,-88.0,-88.0,CW,>500 um
314,LabAA,LabAA_CW_1,500,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,Dry (on tape or filter paper in a petri dish),0.25,,0.0,0.0,0.0,CW,>500 um
315,LabAA,LabAA_CW_1,212,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,Dry (on tape or filter paper in a petri dish),0.25,,0.0,0.0,0.0,CW,212-500 um
316,LabAA,LabAA_CW_1,212,8 inches,Polycarbonate,20,47,Glass,-88.0,0,Dry (on tape or filter paper) Wet (in RO water),0.5,Flocculant made filtration through the filters slow. Had to use 1 - 20 µm filter,0.0,0.0,0.0,CW,>500 um
317,LabAA,LabAA_CW_1,212,8 inches,Polycarbonate,1,47,Glass,-88.0,0,Dry (on tape or filter paper) Wet (in RO water),3.0,Flocculant made filtration through the filters slow. Had to use  6 - 1 µm filters.,0.0,0.0,0.0,CW,20-212 um
318,LabAA,LabAA_CW_2,500,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,Dry (on tape or filter paper in a petri dish),0.25,,0.0,0.0,0.0,CW,1-20 um
319,LabAA,LabAA_CW_2,212,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,Dry (on tape or filter paper in a petri dish),0.25,,0.0,0.0,0.0,CW,>500 um
320,LabAA,LabAA_CW_2,212,8 inches,Polycarbonate,20,47,Glass,-88.0,0,Dry (on tape or filter paper) Wet (in RO water),1.5,Flocculant made filtration through the filters slow. Had to use 2 - 20 µm filters,0.0,0.0,0.0,CW,212-500 um
321,LabAA,LabAA_CW_2,212,8 inches,Polycarbonate,1,47,Glass,-88.0,0,Dry (on tape or filter paper) Wet (in RO water),4.0,Flocculant made filtration through the filters slow. Had to use  3 - 1 µm filters.,0.0,0.0,0.0,CW,20-212 um
322,LabAA,LabAA_CW_3,500,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,Dry (on tape or filter paper in a petri dish),0.25,,0.0,0.0,0.0,CW,1-20 um
323,LabAA,LabAA_CW_3,212,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,Dry (on tape or filter paper in a petri dish),0.25,,0.0,0.0,0.0,CW,>500 um
324,LabAA,LabAA_CW_3,212,8 inches,Polycarbonate,20,47,Glass,-88.0,0,Dry (on tape or filter paper) Wet (in RO water),1.0,"Flocculant made filtration through the filters slow.  Each sample different, CW_3 hardest to filter. Had to use 2 - 20 µm filters",0.0,0.0,0.0,CW,212-500 um
325,LabAA,LabAA_CW_3,212,8 inches,Polycarbonate,1,47,Glass,-88.0,0,Dry (on tape or filter paper) Wet (in RO water),9.0,"Flocculant made filtration through the filters slow.  Each sample different, CW_3 hardest to filter. Had to use  19 - 1 µm filters.",0.0,0.0,0.0,CW,20-212 um
326,LabAA,LabAA_CW_4,500,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,None Stored - Nothing to Store,0.25,,0.0,0.0,0.0,CW,1-20 um
327,LabAA,LabAA_CW_4,212,8 inches,Polycarbonate,-88,-88,Glass,-88.0,0,None Stored - Nothing to Store,0.25,,0.0,0.0,0.0,CW,>500 um
328,LabAA,LabAA_CW_4,212,8 inches,Polycarbonate,20,47,Glass,-88.0,0,None Stored - Nothing to Store,0.5,Flocculant made filtration through the filters slow. Had to use 1 - 20 µm filter,0.0,0.0,0.0,CW,212-500 um
329,LabAA,LabAA_CW_4,212,8 inches,Polycarbonate,1,47,Glass,-88.0,0,None Stored - Nothing to Store,3.0,Flocculant made filtration through the filters slow. Had to use  4 - 1 µm filters.,0.0,0.0,0.0,CW,20-212 um
537,LabR,LabR_CW_2,500,8,PCTE,20,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,212-500 um
538,LabR,LabR_CW_2,212,8,PCTE,20,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,20-212 um
539,LabR,LabR_CW_2,20,8,PCTE,5,47,Glass,-88.0,-88,room temp,2.0,Gelatin Gate,-88.0,-88.0,-88.0,CW,1-20 um
333,LabX,LabX_CW_1,1,89,cellulose,1,89,glass,-88.0,-88,25,14.0,,5.0,-88.0,-88.0,CW,20-212 um
540,LabR,LabR_CW_3,500,8,PCTE,20,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,212-500 um
541,LabR,LabR_CW_3,212,8,PCTE,20,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,20-212 um
542,LabR,LabR_CW_3,20,8,PCTE,5,47,Glass,-88.0,-88,room temp,2.0,Gelatin Gate,-88.0,-88.0,-88.0,CW,1-20 um
335,LabX,LabX_CW_2,212,203,cellulose,1,203,glass,-88.0,-88,25,7.0,,1.0,5.0,-88.0,CW,>500 um
543,LabR,LabR_CW_4,500,8,PCTE,20,47,Glass,-88.0,-88,room temp,1.33,,-88.0,-88.0,-88.0,CW,212-500 um
337,LabX,LabX_CW_2,1,89,cellulose,1,89,glass,-88.0,-88,25,18.0,,5.0,-88.0,-88.0,CW,20-212 um
544,LabR,LabR_CW_4,212,8,PCTE,20,47,Glass,-88.0,-88,room temp,1.33,,-88.0,-88.0,-88.0,CW,20-212 um
545,LabR,LabR_CW_4,20,8,PCTE,5,47,Glass,-88.0,-88,room temp,1.33,Gelatin Gate,-88.0,-88.0,-88.0,CW,1-20 um
546,LabR,LabR_CW_1,500,8,PCTE,-88,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,>500 um
547,LabR,LabR_CW_2,500,8,PCTE,-88,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,>500 um
345,LabL,LabL_CW_1,250,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,>500 um
346,LabL,LabL_CW_1,125,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,212-500 um
347,LabL,LabL_CW_2,500,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,>500 um
348,LabL,LabL_CW_2,250,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,250-500 um
349,LabL,LabL_CW_2,125,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,125-250 um
350,LabL,LabL_CW_3,500,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,>500 um
351,LabL,LabL_CW_3,250,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,250-500 um
341,LabX,LabX_CW_3,1,89,cellulose,1,89,glass,-88.0,-88,25,31.0,,15.0,15.0,-88.0,CW,20-212 um
548,LabR,LabR_CW_3,500,8,PCTE,-88,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,>500 um
549,LabR,LabR_CW_4,500,8,PCTE,-88,47,Glass,-88.0,-88,room temp,2.0,,-88.0,-88.0,-88.0,CW,>500 um
652,LabZ,LabZ_SD_02,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,>500 um
352,LabL,LabL_CW_3,125,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,125-250 um
353,LabL,LabL_CW_4,500,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,>500 um
354,LabL,LabL_CW_4,250,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,250-500 um
355,LabL,LabL_CW_4,125,730000,GF/A,2,47000,glass and stainless steel clamp,-88.0,-88,GF/A in petri dishes,4.0,"4 h for all cw samples, every samples < 125 um was discarded. All units on this sheet are in um",-88.0,-88.0,-88.0,CW,125-250 um
356,LabQ,LabQ_CW_5,212,3,PCTE,1,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,>500 um
357,LabQ,LabQ_CW_6,212,3,PCTE,1,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,1-20 um
358,LabQ,LabQ_CW_7,212,3,PCTE,1,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,1-20 um
359,LabQ,LabQ_CW_8,212,3,PCTE,1,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,1-20 um
360,LabQ,LabQ_CW_5,212,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,1-20 um
380,LabDD,LabDD_CW_1,500,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",1.5,,0.0,0.0,0.0,CW,1-20 um
381,LabDD,LabDD_CW_1,212,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",1.5,,0.0,0.0,0.0,CW,212-500 um
382,LabDD,LabDD_CW_1,20,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",8.0,,0.0,0.0,0.0,CW,20-212 um
383,LabDD,LabDD_CW_1,1,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",10.0,"sieve was actually a 20 µm sieve, but we put 1 µm to avoid the appearance of a duplicate sample",0.0,0.0,0.0,CW,1-20 um
384,LabDD,LabDD_CW_2,500,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",0.75,,0.0,0.0,0.0,CW,>500 um
276,LabQ,LabQ_CW_1,500,3,PCTE,20,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,20-212 um
385,LabDD,LabDD_CW_2,212,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",0.75,,0.0,0.0,0.0,CW,212-500 um
386,LabDD,LabDD_CW_2,20,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",0.5,,0.0,0.0,0.0,CW,20-212 um
387,LabDD,LabDD_CW_2,1,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",5.0,"sieve was actually a 20 µm sieve, but we put 1 µm to avoid the appearance of a duplicate sample",0.0,0.0,0.0,CW,1-20 um
388,LabDD,LabDD_CW_3,500,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",1.0,,0.0,0.0,0.0,CW,>500 um
389,LabDD,LabDD_CW_3,212,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",1.0,,0.0,0.0,0.0,CW,212-500 um
390,LabDD,LabDD_CW_3,20,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",2.0,,0.0,0.0,0.0,CW,20-212 um
391,LabDD,LabDD_CW_3,1,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",2.0,"sieve was actually a 20 µm sieve, but we put 1 µm to avoid the appearance of a duplicate sample",0.0,0.0,0.0,CW,1-20 um
392,LabDD,LabDD_CW_4,500,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",0.5,,0.0,0.0,0.0,CW,>500 um
393,LabDD,LabDD_CW_4,212,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",0.5,,0.0,0.0,0.0,CW,212-500 um
394,LabDD,LabDD_CW_4,20,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",0.5,,0.0,0.0,0.0,CW,20-212 um
395,LabDD,LabDD_CW_4,1,3.25 inches,polycarbonate,1,47,glass,0.0,0,"on filters, dry",7.0,"sieve was actually a 20 µm sieve, but we put 1 µm to avoid the appearance of a duplicate sample",0.0,0.0,0.0,CW,1-20 um
400,LabH,LabH_CW_1,500,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,>500 um
401,LabH,LabH_CW_1,212,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,20-212 um
403,LabH,LabH_CW_2,500,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,>500 um
404,LabH,LabH_CW_2,212,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,20-212 um
406,LabH,LabH_CW_3,500,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,>500 um
405,LabH,LabH_CW_2,212,3.9 inches,borosilicate glass,1,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,212-500 um
653,LabZ,LabZ_SD_02,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,212-500 um
407,LabH,LabH_CW_3,212,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,20-212 um
409,LabH,LabH_CW_4,500,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,>500 um
410,LabH,LabH_CW_4,212,3.9 inches,borosilicate glass,20,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,20-212 um
654,LabZ,LabZ_SD_02,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,20-212 um
428,LabCC,LabCC_CW_1,500,8 inches,polycarbonate,1,47,Plastic,0.0,0,Dry,0.16,,0.0,0.0,0.0,CW,>500 um
435,LabCC,LabCC_CW_3,250,8 inches,polycarbonate,1,47,Plastic,0.0,0,Dry,0.16,,0.0,0.0,0.0,CW,250-500 um
436,LabCC,LabCC_CW_3,20,8 inches,polycarbonate,1,47,Plastic,0.0,0,Dry,0.16,,0.0,0.0,0.0,CW,20-250 um
438,LabCC,LabCC_CW_4,250,8 inches,polycarbonate,1,47,Plastic,0.0,0,Dry,0.16,,0.0,0.0,0.0,CW,250-500 um
439,LabCC,LabCC_CW_4,20,8 inches,polycarbonate,1,47,Plastic,0.0,0,Dry,0.16,,0.0,0.0,0.0,CW,20-250 um
411,LabH,LabH_CW_4,212,3.9 inches,borosilicate glass,1,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,212-500 um
415,LabQQ,LabQQ_CW_2,500,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.05,significant clogging,0.0,0.0,0.0,CW,>500 um
417,LabQQ,LabQQ_CW_2,212,1.85 inches,polycarbonate,1,47,Glass,0.0,NR,"on filters, dry",1.0,significant clogging,0.0,0.0,0.0,CW,1-20 um
419,LabQQ,LabQQ_CW_3,212,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.5,significant clogging,0.0,0.0,0.0,CW,20-212 um
423,LabQQ,LabQQ_CW_4,212,1.85 inches,polycarbonate,1,47,Glass,0.0,NR,"on filters, dry",1.0,no particles,0.0,0.0,0.0,CW,1-20 um
412,LabQQ,LabQQ_CW_1,500,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.05,significant clogging,0.0,0.0,0.0,CW,>500 um
413,LabQQ,LabQQ_CW_1,212,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.5,significant clogging,0.0,0.0,0.0,CW,20-212 um
414,LabQQ,LabQQ_CW_1,212,1.85 inches,polycarbonate,1,47,Glass,0.0,NR,"on filters, dry",1.0,significant clogging,0.0,0.0,0.0,CW,1-20 um
416,LabQQ,LabQQ_CW_2,212,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.5,significant clogging,0.0,0.0,0.0,CW,20-212 um
418,LabQQ,LabQQ_CW_3,500,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.05,significant clogging,0.0,0.0,0.0,CW,>500 um
420,LabQQ,LabQQ_CW_3,212,1.85 inches,polycarbonate,1,47,Glass,0.0,NR,"on filters, dry",1.0,significant clogging,0.0,0.0,0.0,CW,1-20 um
421,LabQQ,LabQQ_CW_4,500,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.05,no particles,0.0,0.0,0.0,CW,>500 um
422,LabQQ,LabQQ_CW_4,212,1.85 inches,polycarbonate,20,47,Glass,0.0,NR,"on filters, dry",0.5,no particles,0.0,0.0,0.0,CW,20-212 um
364,LabQ,LabQ_CW_5,500,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,20-212 um
365,LabQ,LabQ_CW_6,500,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,>500 um
366,LabQ,LabQ_CW_7,500,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,>500 um
367,LabQ,LabQ_CW_8,500,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,>500 um
296,LabG,LabG_CW_1,20,-88,polycarbonate,20,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,212-500 um
308,LabG,LabG_CW_4,20,-88,polycarbonate,20,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,212-500 um
402,LabH,LabH_CW_1,212,3.9 inches,borosilicate glass,1,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,212-500 um
408,LabH,LabH_CW_3,212,3.9 inches,borosilicate glass,1,47,Stainless-steel,-88.0,-88,"on filters, dry",2.0,,-88.0,-88.0,-88.0,CW,212-500 um
361,LabQ,LabQ_CW_6,212,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,20-212 um
362,LabQ,LabQ_CW_7,212,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,20-212 um
363,LabQ,LabQ_CW_8,212,3,PCTE,20,47,Glass,-88.0,-88,"on filters, dry",1.0,,-88.0,-88.0,-88.0,CW,20-212 um
655,LabZ,LabZ_SD_02,212,3,"PCTE, Gold Coated",1,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,1-20 um
656,LabZ,LabZ_SD_03,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,>500 um
657,LabZ,LabZ_SD_03,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,212-500 um
658,LabZ,LabZ_SD_03,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,20-212 um
659,LabZ,LabZ_SD_03,212,3,"PCTE, Gold Coated",1,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,1-20 um
660,LabZ,LabZ_SD_04,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,>500 um
661,LabZ,LabZ_SD_04,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,212-500 um
662,LabZ,LabZ_SD_04,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,20-212 um
663,LabZ,LabZ_SD_04,212,3,"PCTE, Gold Coated",1,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,1-20 um
719,LabC,LabC_DW_2,212,3.937 inches,polycarbonate,20,44,Glass,-88.0,no,Dry,10.0,the size of sieve we used is 200 um and 500 um,-88.0,-88.0,-88.0,DW,>500 um
720,LabC,LabC_DW_2,500,3.937 inches,polycarbonate,20,44,Glass,-88.0,no,Dry,10.0,the size of sieve we used is 200 um and 500 um,-88.0,-88.0,-88.0,DW,1-20 um
721,LabC,LabC_DW_3,212,3.937 inches,polycarbonate,20,44,Glass,-88.0,no,Dry,11.0,the size of sieve we used is 200 um and 500 um,-88.0,-88.0,-88.0,DW,20-212 um
722,LabC,LabC_DW_3,500,3.937 inches,polycarbonate,20,44,Glass,-88.0,no,Dry,11.0,the size of sieve we used is 200 um and 500 um,-88.0,-88.0,-88.0,DW,212-500 um
723,LabC,LabC_DW_4,212,3.937 inches,polycarbonate,20,44,Glass,-88.0,no,Dry,11.0,the size of sieve we used is 200 um and 500 um,-88.0,-88.0,-88.0,DW,>500 um
724,LabC,LabC_DW_4,500,3.937 inches,polycarbonate,20,44,Glass,-88.0,no,Dry,11.0,the size of sieve we used is 200 um and 500 um,-88.0,-88.0,-88.0,DW,1-20 um
749,LabAA,LabAA_DW_1,212,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",13.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,212-500 um
750,LabAA,LabAA_DW_1,500,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",12.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,>500 um
751,LabAA,LabAA_DW_2,212,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",13.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,212-500 um
752,LabAA,LabAA_DW_2,500,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",12.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,>500 um
753,LabAA,LabAA_DW_3,212,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",13.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,212-500 um
754,LabAA,LabAA_DW_3,500,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",12.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,>500 um
755,LabAA,LabAA_DW_4,212,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",14.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,212-500 um
756,LabAA,LabAA_DW_4,500,8 inches,polycarbonate,20,47,Glass,-88.0,Digested 1 time with Fenton's ragent,"on filters, dry",15.0,Time is only for Fenton's and H2O2 reactions. Add another 12 hrs for the Alcojet soak and sieve.,-88.0,-88.0,-88.0,DW,>500 um
1,LabA,LabA_CW_1,500,47 mm,Not Applicable,0,25,Stainless steel + Glass,-88.0,-88,">500 on stainless steel storage chambers in petri dishes, dry, < 500 on Anodisc in petri dishes, dry)",0.08,Bioparticipate formation causing agglomoration cleaned by WPO protocol,-88.0,-88.0,-88.0,CW,>500 um
2,LabA,LabA_CW_2,500,47 mm,Not Applicable,0,25,Stainless steel + Glass,-88.0,-88,">500 on stainless steel storage chambers in petri dishes, dry, < 500 on Anodisc in petri dishes, dry)",0.08,,-88.0,-88.0,-88.0,CW,>500 um
3,LabA,LabA_CW_3,500,47 mm,Not Applicable,0,25,Stainless steel + Glass,-88.0,-88,">500 on stainless steel storage chambers in petri dishes, dry, < 500 on Anodisc in petri dishes, dry)",0.08,,-88.0,-88.0,-88.0,CW,>500 um
4,LabA,LabA_CW_4,500,47 mm,Not Applicable,0,25,Stainless steel + Glass,-88.0,-88,">500 on stainless steel storage chambers in petri dishes, dry, < 500 on Anodisc in petri dishes, dry)",0.08,,-88.0,-88.0,-88.0,CW,>500 um
562,LabD,LabD_SD_1,212,8 inches,polycarbonate,20,47,Stainless steel,-88.0,-88,"on filters, dry",23.0,Oxidized at 60C for 2 hours with 30% H2O2,2.0,24.0,-88.0,SD,20-212 um
563,LabD,LabD_SD_1,"212, 500",8 inches,polycarbonate,20,47,Stainless steel,-88.0,-88,"on filters, dry",23.0,Oxidized at 60C for 2 hours with 30% H2O2,2.0,24.0,-88.0,SD,212-500 um
564,LabD,LabD_SD_1,500,8 inches,polycarbonate,20,47,Stainless steel,-88.0,-88,"on filters, dry",23.0,Oxidized at 60C for 2 hours with 30% H2O2,2.0,24.0,-88.0,SD,>500 um
565,LabD,LabD_SD_2,212,8 inches,polycarbonate,20,47,Stainless steel,-88.0,-88,"on filters, dry",23.0,Oxidized at 60C for 2 hours with 30% H2O2,2.0,24.0,-88.0,SD,20-212 um
566,LabD,LabD_SD_2,"212, 500",8 inches,polycarbonate,20,47,Stainless steel,-88.0,-88,"on filters, dry",23.0,Oxidized at 60C for 2 hours with 30% H2O2,2.0,24.0,-88.0,SD,212-500 um
567,LabD,LabD_SD_2,500,8 inches,polycarbonate,20,47,Stainless steel,-88.0,-88,"on filters, dry",23.0,Oxidized at 60C for 2 hours with 30% H2O2,2.0,24.0,-88.0,SD,>500 um
